chapter,zh_source_edition,chinese,translator,translation,ai_interpretation
11,"王弼本","三十辐，共一毂，当其无，有车之用。埏埴以为器，当其无，有器之用。凿户牖以为室，当其无，有室之用。故有之以为利，无之以为用。","arsovska","Treinta rayos forman el cubo de la rueda; el espacio entre ellos permite que la rueda cumpla su función. Se amasa el barro para hacer una vasija; el vacío en su interior permite que la vasija cumpla su función. Paredes y ventanas forman un recinto; en lo no manifiesto está su función. Por ello, en lo manifiesto está la forma; en lo no manifiesto, la utilidad.",""
12,"王弼本","五色令人目盲，五音令人耳聋，五味令人口爽，驰骋畋猎令人心发狂，难得之货令人行妨。是以圣人为腹不为目，故去彼取此。","arsovska","Los cinco colores provocan ceguera, los cinco sonidos provocan sordera, los cinco sabores entorpecen el paladar. Las carreras y la caza conducen a la locura, lo difícil de obtener obstruye la cordura. Por eso, el sabio percibe con la entraña y no con los ojos. Deja aquello y elige esto.",""
13,"王弼本","宠辱若惊，贵大患若身。何谓宠辱若惊？宠为下，得之若惊，失之若惊，是谓宠辱若惊。何谓贵大患若身？吾所以有大患者，为吾有身，及吾无身，吾有何患？故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。","arsovska","La honra y el desdén aturden por igual. Valora la gran desgracia cual si fuera tu propio cuerpo. ¿Qué significa 'La honra y el desdén aturden por igual'? La honra es mundana. Obtenerla aturde; perderla, también. Por ello, la honra y el desdén aturden por igual. ¿Qué significa 'Valora la gran desgracia cual si fuera tu propio cuerpo'? Siento la gran desgracia por tener cuerpo. Si no tuviera cuerpo, ¿qué desgracia podría sentir? Por ello, a quien valora al mundo como a su cuerpo se le puede encomendar el mundo; a quien ama al mundo como a su cuerpo se le puede confiar el mundo.",""
14,"王弼本","视之不见名曰夷，听之不闻名曰希，搏之不得名曰微。此三者，不可致诘，故混而为一。其上不皦，其下不昧。绳绳不可名，复归于无物。是谓无状之状，无物之象，是谓惚恍。迎之不见其首，随之不见其后。执古之道，以御今之有。能知古始，是谓道纪。","arsovska","Lo miras, pero no lo ves. Lo nombras invisible. Lo oyes, pero no lo escuchas. Lo nombras inaudible. Lo abrazas, pero no lo apresas. Lo nombras diminuto. Estos tres no se someten al saber, y por eso se funden en uno. Arriba no es claro, abajo no es oscuro. Lo distingue la continuidad y no puede ser nombrado. Retorna hacia donde no hay cosas; se llama la forma sin forma, la imagen sin cuerpo; se llama lo indistinto. Lo encaras y no ves su rostro, lo persigues y no ves su dorso. Abrazar el Dao de antaño permite regir el hoy. Conocer el comienzo remoto es conocer la hebra del Dao.",""
15,"王弼本","古之善为士者，微妙玄通，深不可识。夫唯不可识，故强为之容：豫兮若冬涉川，犹兮若畏四邻，俨兮其若客，涣兮若冰之将释，敦兮其若朴，旷兮其若谷，浑兮其若浊。孰能浊以静之徐清？孰能安以久动之徐生？保此道者不欲盈，夫唯不盈，故能蔽不新成。","arsovska","Los caballeros antaño versados en el Dao eran penetrantes y agudos; su profundidad impedía conocerlos, y, al no poder conocerlos, sólo quedaba describirlos. Cautelosos, como quien cruza un río en invierno; precavidos, como quien teme a sus vecinos; solemnes, cual huéspedes; frágiles como el hielo a punto de derretirse; simples como el tronco sin labrar; vastos cual valles; opacos cual lodo. ¿Quién puede tornar el lodo turbio en agua diáfana? ¿Quién puede sacudir lo inerte y hacerlo crear? Quien adopta a este Dao no busca saciedad, y justo por no buscarla, permanece y se renueva sin cesar.",""
16,"王弼本","致虚极，守静笃。万物并作，吾以观复。夫物芸芸，各复归其根。归根曰静，是曰复命。复命曰常，知常曰明。不知常，妄作凶。知常容，容乃公，公乃王，王乃天，天乃道，道乃久，没身不殆。","arsovska","Alcanza la vacuidad hasta el límite, preserva la quietud suprema. Las diez mil cosas suceden y yo observo su retorno. Las cosas florecen y retornan a su raíz. Retornar a la raíz se nombra quietud; quietud es retornar a lo dispuesto; retornar a lo dispuesto es lo constante; conocer lo constante es tener claridad; desconocer lo constante acarrea calamidad. Conocer lo constante es abarcar, abarcar es gobernar, gobernar es reinar, reinar es alcanzar el cielo, el cielo es el Dao. El Dao prevalece y el cuerpo no perece.",""
17,"王弼本","大上，下知有之，其次亲而誉之，其次侮之。信不足焉，有不信焉。悠兮其贵言，功成事遂，百姓皆谓我自然。","arsovska","El pueblo está al tanto de la existencia del gobernante superior. Al buen gobernante lo quiere y respeta; al inferior le teme; al peor lo insulta. Cuando la credibilidad mengua, surge la desconfianza. Sin prisa, cuidando las palabras, se logra el mérito, se culmina la obra y el pueblo exclama: 'así es'.",""
18,"王弼本","大道废，有仁义；智慧出，有大伪；六亲不和，有孝慈；国家昏乱，有忠臣。","arsovska","Cuando el Dao colapsa, aparecen la humanidad y la justicia. Cuando la sagacidad asoma, surge la falsedad. Cuando la armonía abandona la familia, brotan la piedad filial y el amor paternal. Cuando el Estado sucumbe al caos, aparece el ministro leal.",""
19,"王弼本","绝圣弃智，民利百倍；绝仁弃义，民复孝慈；绝巧弃利，盗贼无有。此三者以为文不足，故令有所属：见素抱朴，少私寡欲。","arsovska","Haz desaparecer la sabiduría, desampara la sagacidad; el pueblo se beneficiará cien veces. Haz desaparecer la compasión, desampara la justicia; el pueblo retornará a la piedad filial y al amor paternal. Haz desaparecer la astucia y abandona el lucro, así acabarás con ladrones y bandidos. Mas estos tres no son suficientes: aún se necesita apreciar lo elemental, abrazar la simpleza, reducir la parcialidad, menguar los deseos.",""
20,"王弼本","绝学无忧，唯之与阿，相去几何？善之与恶，相去若何？人之所畏，不可不畏。荒兮其未央哉！众人熙熙，如享太牢，如春登台。我独泊兮其未兆，如婴儿之未孩；儽儽兮，若无所归。众人皆有余，而我独若遗。我愚人之心也哉！沌沌兮，俗人昭昭，我独若昏。俗人察察，我独闷闷。澹兮其若海，飂兮若无止。众人皆有以，而我独顽似鄙。我独异于人，而贵食母。","arsovska","Suelta lo aprendido y las angustias cesarán. ¿Cuánto dista el 'sí' humilde del altanero 'ajá'? ¿Cuán lejos están la belleza y la fealdad? Imposible es no temer lo que el otro teme. ¡Lo impenetrable, oh, infinito es! La multitud alegre, cual de fiesta, cual gozando la primavera, y yo, en cambio, calmado, sin presagio alguno. Confundido cual cría que aún no llega a infante, cansado como si no tuviera dónde volver. La multitud posee de más y yo cual si nada tuviera. ¡Qué ingenuidad la mía! Todo me da igual. Los hombres comunes brillan; yo soy opaco. Los hombres ordinarios cuestionan; yo no distingo. ¡Atormentado, cual la gran mar! ¡Agitado, cual si no pudiera parar! La muchedumbre posee destrezas; a mí me distingue la torpeza. Soy distinto a los demás, elijo nutrirme de la Madre.",""
21,"王弼本","孔德之容，惟道是从。道之为物，惟恍惟惚。惚兮恍兮，其中有象；恍兮惚兮，其中有物。窈兮冥兮，其中有精；其精甚真，其中有信。自今及古，其名不去，以阅众甫。吾何以知众甫之状哉？以此。","arsovska","Hueca es la Virtud que no sigue al Dao. Dao es cosa incierta y vaga. ¡Incierta y vaga!; ahí está la imagen. ¡Vaga e incierta!; ahí está la cosa. ¡Oscura y nebulosa!; ahí está la semilla. La semilla es verdadera, en ella se puede confiar. Desde la antigüedad hasta hoy, su nombre permanece, se multiplica y florece. ¿Cómo sé que las cosas son así? Por el Dao.",""
22,"王弼本","曲则全，枉则直，洼则盈，敝则新，少则得，多则惑。是以圣人抱一为天下式。不自见故明，不自是故彰，不自伐故有功，不自矜故长。夫唯不争，故天下莫能与之争。古之所谓曲则全者，岂虚言哉！诚全而归之。","arsovska","Lo carente se completa, lo torcido se endereza, lo hueco se llena, lo gastado se renueva, lo poco se obtiene, lo mucho confunde. Por ello el sabio abraza al uno como molde del mundo. No se exhibe y por eso brilla; no se muestra y por eso es evidente; no contiende y por eso logra; no se vanagloria y por eso perdura. Y justo por no contender, nada bajo el cielo puede contra él. Aquellas palabras de antaño, 'lo escaso se colma', ¿acaso son sólo palabras vacuas? Todo, una vez completo, retorna al Dao.",""
23,"王弼本","希言自然。故飘风不终朝，骤雨不终日。孰为此者？天地。天地尚不能久，而况于人乎？故从事于道者，道者同于道，德者同于德，同于道者，道亦乐得之；同于德者，德亦乐得之；同于失者，失亦乐得之。信不足焉，有不信焉。","arsovska","Poco predicar es lo natural. Así, el ventarrón no agota la mañana ni la lluvia torrencial dura todo el día. ¿Por qué? Por el cielo y la tierra. Si sus fenómenos no son perennes, ¿cómo podría serlo el ser humano? Quien sigue al Dao se funde con el Dao. Quien sigue a la Virtud se funde con la Virtud. Quien elige desviarse logra extraviarse. Dao abraza con júbilo a los que se funden con él; la Virtud abraza con regocijo a quienes se le unen; la ruina acoge con alegría a los que la eligen. Cuando la confianza mengua, la desconfianza asoma.",""
24,"王弼本","企者不立，跨者不行，自见者不明，自是者不彰，自伐者无功，自矜者不长。其在道也，曰余食赘行。物或恶之，故有道者不处。","arsovska","Quien anda en puntas no está parado; quien anda a zancadas no camina; quien se exhibe no brilla; quien se muestra no es evidente; quien contiende no logra; quien se vanagloria no perdura. Esto en el Dao se llama sobras de comida, formas superfluas. Existe la fealdad, mas quien abraza al Dao no permanece ahí.",""
25,"王弼本","有物混成，先天地生。寂兮寥兮，独立而不改，周行而不殆，可以为天下母。吾不知其名，字之曰道，强为之名，曰大。大曰逝，逝曰远，远曰反。故道大，天大，地大，王亦大。域中有四大，而王居其一焉。人法地，地法天，天法道，道法自然。","arsovska","... Algo se funde, se forma y nace antes que el cielo y la tierra... Silencioso y amorfo, solitario e indivisible. Circula por doquier sin nunca perecer; podría ser la Madre del cielo y la tierra. No sé su nombre; a fuerza le llamo Dao. Forzado a nombrarlo más, lo llamo Grande. Lo grande se admira, lo que se admira está lejos, lo que está lejos retorna. Por ello el Dao es grande, el cielo es grande, la tierra es grande y el monarca es grande. En lo vasto hay cuatro grandes y el monarca está en la cima. El ser humano tiene por norma a la tierra, la tierra al cielo, el cielo al Dao y el Dao a la espontaneidad.",""
26,"王弼本","重为轻根，静为躁君。是以圣人终日行不离辎重。虽有荣观，燕处超然。奈何万乘之主，而以身轻天下？轻则失本，躁则失君。","arsovska","Lo pesado es raíz de lo ligero; la quietud, reina del movimiento. De esta manera, el sabio anda el día entero sin apartarse de su carruaje. Ante paisajes seductores, prefiere quedarse en su hogar. ¿Acaso el amo de los diez mil carruajes obra a la ligera? Obrar a la ligera es extraviar la raíz. Los impetuosos pierden el trono.",""
27,"王弼本","善行无辙迹，善言无瑕谪；善数不用筹策；善闭无关楗而不可开，善结无绳约而不可解。是以圣人常善救人，故无弃人；常善救物，故无弃物，是谓袭明。故善人者，不善人之师；不贵其师，不爱其资，虽智大迷，是谓要妙。","arsovska","El buen caminante no deja huellas; el buen orador no da lugar a polémica. Quien sabe contar no necesita ábaco; quien sabe cerrar no usa cerrojos, mas nadie puede abrir su puerta; quien sabe amarrar no usa cuerda, mas nadie puede deshacer su nudo. Por ello, el sabio siempre rescata al prójimo y así nadie queda abandonado; aprovecha las cosas y así nada es desperdiciado. Eso se llama adherirse a la claridad. Por ello, los diestros son maestros de los torpes, y los torpes, el recurso de los diestros. Quien no valora al maestro ni ama al recurso, aunque posea conocimiento, está perdido. Esto se llama misterio elemental.",""
28,"王弼本","知其雄，守其雌，为天下谿。为天下谿，常德不离，复归于婴儿。知其白，守其黑，为天下式。为天下式，常德不忒，复归于无极。知其荣，守其辱，为天下谷，常德乃足，复归于朴。朴散则为器，圣人用之，则为官长，故大制不割。","arsovska","Quien reconoce su virilidad y abraza su lado femenino es el arroyo del mundo; no se aparta de la Virtud y retorna a la infancia primigenia. Quien conoce su blanco y conserva su negro es el molde del mundo; al molde del mundo la Virtud no le falla y retorna a la Unidad. Quien conoce el honor y conserva la vergüenza es el valle del mundo; rebosa de Virtud que retorna a la simpleza, a la madera sin tallar. La madera se talla y surge el instrumento. El sabio lo usa para ascender al mando. El buen carpintero no daña la veta.",""
29,"王弼本","将欲取天下而为之，吾见其不得已。天下神器，不可为也，为者败之，执者失之。故物或行或随，或歔或吹。或强或羸，或挫或隳。是以圣人去甚，去奢，去泰。","arsovska","Quien desea apoderarse del mundo e incidir en él jamás lo logra; lo he visto yo. El mundo es una vasija misteriosa, no se puede manipular. Quien intenta manipularlo fracasa. Quien intenta retenerlo lo pierde. En el mundo unos marcan el paso, otros siguen la huella; unos suspiran y otros resoplan con fuerza; unos son fuertes y avasallan; otros caen y colapsan. Por ello el sabio renuncia al abuso, al exceso y a la opulencia.",""
30,"王弼本","以道佐人主者，不以兵强天下。其事好还。师之所处，荆棘生焉。大军之后，必有凶年。善者果而已，不以取强。果而勿矜，果而勿伐，果而勿骄。果而不得已，果而勿强。物壮则老，是谓不道，不道早已。","arsovska","Aquel que gobierna de la mano del Dao no necesita ejércitos para imponer su autoridad. Sus actos no quedan sin recompensa. Donde acampan militares sólo maleza crece; después de las guerras, años de calamidades acaecen. Quien es bueno para lograr y sabe a tiempo parar logra sin arrebatar, logra sin presumir, logra sin contender, logra sin jactarse, logra sin poseer, logra sin imponer. Cuando las cosas se robustecen, envejecen; eso es contrario al Dao, y lo contrario al Dao perece.",""
31,"王弼本","夫佳兵者，不祥之器，物或恶之，故有道者不处。君子居则贵左，用兵则贵右。兵者不祥之器，非君子之器，不得已而用之，恬淡为上。胜而不美，而美之者，是乐杀人。夫乐杀人者，则不可以得志于天下矣。吉事尚左，凶事尚右。偏将军居左，上将军居右，言以丧礼处之。杀人之众，以哀悲泣之，战胜，以丧礼处之。","arsovska","Las armas son instrumentos nefastos, objetos repudiados por quien sigue al Dao. El caballero valora la izquierda; el militar atesora la derecha. Las armas, estos artefactos atroces, no son instrumentos del caballero. Cuando su uso es imprescindible, hay que hacerlo con calma y tranquilidad. La victoria nunca es bella sino para quien goza de matar. Quien goza de matar jamás ganará la voluntad del pueblo. En ocasiones festivas se precia la izquierda; en ocasiones de luto, la derecha. El teniente se instala a la izquierda, el comandante a la derecha. Quien a muchos mató debe asistir con llanto y pena a los funerales; el vencedor también debe honrar a los muertos.",""
32,"王弼本","道常无名，朴虽小，天下莫能臣也。侯王若能守之，万物将自宾。天地相合，以降甘露，民莫之令而自均。始制有名，名亦既有，夫亦将知止，知止所以不殆。譬道之在天下，犹川谷之于江海。","arsovska","El Dao constante carece de nombre. Aunque lo simple es diminuto, nada en el mundo lo puede someter. Si reyes y príncipes abrazan al Dao, las diez mil cosas se alinearán. Y tal como de la unión entre el cielo y la tierra el dulce rocío del alba emana, sin mandatos ni leyes el pueblo por sí solo se ordena. Con las normas surgieron los nombres, con los nombres aparece el poseer. Saber parar evita perecer. El Dao para el mundo es lo que el arroyo para el valle, lo que el río para el mar.",""
33,"王弼本","知人者智，自知者明。胜人者有力，自胜者强。知足者富。强行者有志。不失其所者久。死而不亡者寿。","arsovska","Sagaz es quien conoce al otro; iluminado, quien se conoce a sí mismo. Quien vence al otro tiene fuerza; quien se vence a sí mismo es fuerte. Quien sabe cuándo es suficiente está pleno; quien fuerza el actuar tiene voluntad. Quien no pierde su sitio, perdura; quien muere sin perecer, vive.",""
34,"王弼本","大道氾兮，其可左右。万物恃之而生而不辞，功成不名有。衣养万物而不为主，常无欲，可名于小；万物归焉而不为主，可名为大。以其终不自为大，故能成其大。","arsovska","El gran Dao colma la izquierda y la derecha. Da vida a las diez mil cosas sin pregonar, logra sin jactarse, arropa y nutre todas las cosas sin adueñarse. No anhela, y por eso se puede llamar diminuto. Las diez mil cosas retornan sin que él sea su dueño; por eso se puede llamar grande. Es grande justamente porque jamás se piensa grande.",""
35,"王弼本","执大象，天下往。往而不害，安平太。乐与饵，过客止。道之出口，淡乎其无味，视之不足见，听之不足闻，用之不可既。","arsovska","Abraza la gran imagen y el mundo vendrá. Vendrá, no a dañar, sino a apaciguar y calmar. La música y los manjares seducen al caminante. El Dao, en cambio, es desabrido, insípido. Lo miras sin llegar a verlo, lo escuchas sin llegar a oírlo, lo usas sin nunca agotarlo.",""
36,"王弼本","将欲歙之，必固张之；将欲弱之，必固强之；将欲废之，必固兴之；将欲夺之，必固与之。是谓微明。柔弱胜刚强。鱼不可脱于渊，国之利器不可以示人。","arsovska","Si quieres comprimirlo, primero lo debes extender; si quieres debilitarlo, primero lo debes fortalecer; si quieres desaparecerlo, primero lo debes potenciar; si quieres obtener, primero debes dar. Eso se llama claridad sutil. Lo blando y débil vence a lo rígido y fuerte. El pez no puede abandonar las aguas profundas ni el Estado mostrar al pueblo su arsenal.",""
37,"王弼本","道常无为而无不为。侯王若能守之，万物将自化。化而欲作，吾将镇之以无名之朴。无名之朴，夫亦将无欲。不欲以静，天下将自定。","arsovska","El Dao hace sin hacer; por ello nada queda sin atender. Si los reyes y príncipes lo abrazan, las diez mil cosas por sí solas se transforman. Si al transformarse osa actuar, lo aplacaré mediante la simpleza sin nombre. La simpleza sin nombre lleva a no desear. No desear restaura la calma, y así, cada cosa en el mundo ocupa su lugar.",""
38,"王弼本","上德不德，是以有德；下德不失德，是以无德。上德无为而无以为；下德为之而有以为。上仁为之而无以为；上义为之而有以为。上礼为之而莫之应，则攘臂而扔之。故失道而后德，失德而后仁，失仁而后义，失义而后礼。夫礼者，忠信之薄，而乱之首。前识者，道之华，而愚之始。是以大丈夫处其厚，不居其薄；处其实，不居其华。故去彼取此。","arsovska","Por no aparentar, la Virtud superior es Virtud; por aferrarse, la Virtud inferior no es Virtud. La Virtud superior no actúa con pretensión; por ello no hay actuar aparente. El actuar de la Virtud inferior, en cambio, es evidente. La benevolencia superior actúa sin actuar aparente. El actuar de la justicia, en cambio, es evidente. El rito superior actúa y, al no obtener respuesta, se remanga y avasalla. Por ello, cuando el Dao se desvanece, la Virtud aparece; cuando la Virtud colapsa, la benevolencia se abalanza; cuando la benevolencia se disipa, la justicia florece; cuando la justicia se aplaza, los ritos la reemplazan. Los ritos son lealtad ensombrecida, confianza menguada, el principio del caos. El saber anticipado es la pomposidad del Dao y el inicio de la torpeza. Por ello, el caballero se arraiga en lo firme y no en lo blando, se sitúa en lo cierto y no en lo suntuoso, deja aquello y elige esto.",""
39,"王弼本","昔之得一者，天得一以清，地得一以宁，神得一以灵，谷得一以盈，万物得一以生，侯王得一以为天下贞。其致之，天无以清将恐裂，地无以宁将恐发，神无以灵将恐歇，谷无以盈将恐竭，万物无以生将恐灭，侯王无以贵高将恐蹶。故贵以贱为本，高以下为基。是以侯王自称孤、寡、不谷。此非以贱为本邪？非乎？故致数舆无舆，不欲琭琭如玉，珞珞如石。","arsovska","Lo que antaño alcanzó el Uno... Al lograrlo el cielo se aclaró, al adquirirlo la tierra se apaciguó, al obtenerlo el espíritu se vigorizó, al alcanzarlo el valle se colmó, al conseguirlo las diez mil cosas germinaron, y reyes y príncipes con lealtad actuaron. Y al no lograr el Uno... El cielo que no se aclara se agrieta; la tierra que no se apacigua se desintegra; el espíritu que no se vigoriza se pasma; el valle que no se colma se seca; las diez mil cosas, al nacer, comienzan a perecer; los reyes y príncipes, sin lealtad, colapsan. Así entonces, la humildad es la raíz del alarde, lo alto el fundamento de lo bajo. Por ello los reyes y príncipes se nombran a sí mismos 'huérfanos', 'abandonados', 'insuficientes'. ¿Acaso no toman la humildad como raíz del alarde? ¿No es así? Los que alcanzan renombre nunca lo buscan. Más que perseguir el brillo del jade, se aferran a la solidez de la piedra.",""
40,"王弼本","反者道之动，弱者道之用。天下万物生于有，有生于无。","arsovska","El retorno es el movimiento del Dao; en lo blando reside la utilidad del Dao. Las diez mil cosas nacen de lo 'Manifiesto'; lo 'Manifiesto' nace de lo 'No manifiesto'.",""
41,"王弼本","上士闻道，勤而行之；中士闻道，若存若亡；下士闻道，大笑之。不笑，不足以为道。故建言有之：明道若昧，进道若退，夷道若颣，上德若谷，大白若辱，广德若不足，建德若偷，质真若渝，大方无隅，大器晚成，大音希声，大象无形，道隐无名。夫唯道，善贷且成。","arsovska","Cuando el hombre superior oye al Dao, lo sigue con diligencia; cuando el hombre medio oye al Dao, o se aferra a él o lo abandona; cuando el hombre inferior oye al Dao, suelta una carcajada. Si no se carcajea, entonces no era el Dao. Por ello advierte el proverbio: opaco parece el Dao cuando más iluminado está; cuanto más avanza, más parece retroceder, y más rugoso parece cuando más terso está. La Virtud suprema es como el gran valle. La gran honra semeja desdén. La Virtud vasta parece insuficiente. La Virtud firme parece hurtada; es tan cierta que parece falsa. El gran cuadrado carece de ángulos; el gran artefacto se logra con tiempo; el gran sonido no se percibe; la gran imagen carece de forma. El Dao está oculto y carece de nombre. Por ello, sólo el Dao puede dar y lograr.",""
42,"王弼本","道生一，一生二，二生三，三生万物。万物负阴而抱阳，冲气以为和。人之所恶，唯孤、寡、不谷，而王公以为称。故物或损之而益，或益之而损。人之所教，我亦教之。强梁者不得其死，吾将以为教父。","arsovska","El Dao genera el Uno. El Uno genera el Dos. El Dos genera el Tres. El Tres genera las diez mil cosas. Las diez mil cosas se sostienen en yin y abrazan a yang. Qi se agita y alcanza la armonía. Nada detesta más el humano que el abandono, la orfandad y la escasez. Los soberanos y duques, en cambio, así se designan. Las cosas o dañan para luego beneficiar o benefician para luego dañar. Yo sólo transmito lo que otros ya enseñaron: 'El violento nunca llega a su muerte natural'. Seguiré propagando estas enseñanzas.",""
43,"王弼本","天下之至柔，驰骋天下之至坚。无有入无闲，吾是以知无为之有益。不言之教，无为之益，天下希及之。","arsovska","En el mundo lo más blando se impone a lo más rígido. Lo no manifiesto penetra donde no hay espacios. Yo conozco las ventajas del no hacer; una de ellas es enseñar sin predicar, pero pocos en el mundo lo logran comprender.",""
44,"王弼本","名与身孰亲？身与货孰多？得与亡孰病？是故甚爱必大费，多藏必厚亡，知足不辱，知止不殆，可以长久。","arsovska","Fama o vida, ¿qué valoras más? Vida o cosas, ¿de cuál prefieres tener más? Acumular o soltar, ¿cuál de los dos perjudica más? Por todo ello, amar de más es desgastarse, acumular de más es perder, saber conformarse no trae vergüenza, saber parar no acarrea calamidad y sí permite la continuidad.",""
45,"王弼本","大成若缺，其用不弊。大盈若冲，其用不穷。大直若屈，大巧若拙，大辩若讷。躁胜寒，静胜热。清静为天下正。","arsovska","El gran logro semeja carencia, mas su utilidad no perjudica. Lo colmado parece vaciarse, mas su utilidad jamás mengua. La vasta rectitud parece torcida, el vasto ingenio parece ineptitud, la gran elocuencia semeja torpeza. La quietud vence al bullicio, el frío domina al calor, la claridad y la calma ordenan al mundo.",""
46,"王弼本","天下有道，却走马以粪。天下无道，戎马生于郊。祸莫大于不知足；咎莫大于欲得。故知足之足，常足矣。","arsovska","Cuando el Dao florece en el mundo, los caballos abonan los campos. Cuando el Dao desaparece, sus crías amanecen en el campo de batalla. No hay peor desgracia que no saber cuándo es suficiente. No hay peor calamidad que el desear excedentes. Saber cuándo es suficiente permite satisfacción permanente.",""
