translator,chapter,sentence_no,chinese,spanish,note
arsovska,15,3,"豫兮若冬涉川，犹兮若畏四邻，俨兮其若客，涣兮若冰之将释，敦兮其若朴，旷兮其若谷，浑兮其若浊。","Cautelosos, como quien cruza un río en invierno; precavidos, como quien teme a sus vecinos; solemnes, cual huéspedes; frágiles como el hielo a punto de derretirse; simples como el tronco sin labrar; vastos cual valles; opacos cual lodo.",""
arsovska,15,4,"孰能浊以静之徐清？","¿Quién puede tornar el lodo turbio en agua diáfana?",""
arsovska,15,5,"孰能安以久动之徐生？","¿Quién puede sacudir lo inerte y hacerlo crear?",""
arsovska,15,6,"保此道者不欲盈，夫唯不盈，故能蔽不新成。","Quien adopta a este Dao no busca saciedad, y justo por no buscarla, permanece y se renueva sin cesar.",""
arsovska,16,1,"致虚极，守静笃。","Alcanza la vacuidad hasta el límite, preserva la quietud suprema.",""
arsovska,16,2,"万物并作，吾以观复。","Las diez mil cosas suceden y yo observo su retorno.",""
arsovska,16,3,"夫物芸芸，各复归其根。","Las cosas florecen y retornan a su raíz.",""
arsovska,16,4,"归根曰静，是曰复命。","Retornar a la raíz se nombra quietud; quietud es retornar a lo dispuesto;",""
arsovska,16,5,"复命曰常，知常曰明。","retornar a lo dispuesto es lo constante; conocer lo constante es tener claridad;",""
arsovska,16,6,"不知常，妄作凶。","desconocer lo constante acarrea calamidad.",""
arsovska,16,7,"知常容，容乃公，公乃王，王乃天，天乃道，道乃久，没身不殆。","Conocer lo constante es abarcar, abarcar es gobernar, gobernar es reinar, reinar es alcanzar el cielo, el cielo es el Dao. El Dao prevalece y el cuerpo no perece.",""
arsovska,17,1,"大上，下知有之，其次亲而誉之，其次侮之。","El pueblo está al tanto de la existencia del gobernante superior. Al buen gobernante lo quiere y respeta; al inferior le teme; al peor lo insulta.",""
arsovska,17,2,"信不足焉，有不信焉。","Cuando la credibilidad mengua, surge la desconfianza.",""
arsovska,17,3,"悠兮其贵言，功成事遂，百姓皆谓我自然。","Sin prisa, cuidando las palabras, se logra el mérito, se culmina la obra y el pueblo exclama: 'así es'.",""
arsovska,18,1,"大道废，有仁义；","Cuando el Dao colapsa, aparecen la humanidad y la justicia.",""
arsovska,18,2,"智慧出，有大伪；","Cuando la sagacidad asoma, surge la falsedad.",""
arsovska,18,3,"六亲不和，有孝慈；","Cuando la armonía abandona la familia, brotan la piedad filial y el amor paternal.",""
arsovska,18,4,"国家昏乱，有忠臣。","Cuando el Estado sucumbe al caos, aparece el ministro leal.",""
arsovska,19,1,"绝圣弃智，民利百倍；","Haz desaparecer la sabiduría, desampara la sagacidad; el pueblo se beneficiará cien veces.",""
arsovska,19,2,"绝仁弃义，民复孝慈；","Haz desaparecer la compasión, desampara la justicia; el pueblo retornará a la piedad filial y al amor paternal.",""
arsovska,19,3,"绝巧弃利，盗贼无有。","Haz desaparecer la astucia y abandona el lucro, así acabarás con ladrones y bandidos.",""
arsovska,19,4,"此三者以为文不足，故令有所属：","Mas estos tres no son suficientes:",""
arsovska,19,5,"见素抱朴，少私寡欲。","aún se necesita apreciar lo elemental, abrazar la simpleza, reducir la parcialidad, menguar los deseos.",""
arsovska,20,1,"绝学无忧，","Suelta lo aprendido y las angustias cesarán.",""
arsovska,20,2,"唯之与阿，相去几何？","¿Cuánto dista el 'sí' humilde del altanero 'ajá'?",""
arsovska,20,3,"善之与恶，相去若何？","¿Cuán lejos están la belleza y la fealdad?",""
arsovska,20,4,"人之所畏，不可不畏。","Imposible es no temer lo que el otro teme.",""
arsovska,20,5,"荒兮其未央哉！","¡Lo impenetrable, oh, infinito es!",""
arsovska,20,6,"众人熙熙，如享太牢，如春登台。","La multitud alegre, cual de fiesta, cual gozando la primavera,",""
arsovska,20,7,"我独泊兮其未兆，如婴儿之未孩；","y yo, en cambio, calmado, sin presagio alguno. Confundido cual cría que aún no llega a infante,",""
arsovska,20,8,"儽儽兮，若无所归。","cansado como si no tuviera dónde volver.",""
arsovska,20,9,"众人皆有余，而我独若遗。","La multitud posee de más y yo cual si nada tuviera.",""
arsovska,20,10,"我愚人之心也哉！","¡Qué ingenuidad la mía!",""
arsovska,20,11,"沌沌兮，俗人昭昭，我独若昏。","Todo me da igual. Los hombres comunes brillan; yo soy opaco.",""
arsovska,20,12,"俗人察察，我独闷闷。","Los hombres ordinarios cuestionan; yo no distingo.",""
arsovska,20,13,"澹兮其若海，飂兮若无止。","¡Atormentado, cual la gran mar! ¡Agitado, cual si no pudiera parar!",""
arsovska,20,14,"众人皆有以，而我独顽似鄙。","La muchedumbre posee destrezas; a mí me distingue la torpeza.",""
arsovska,20,15,"我独异于人，而贵食母。","Soy distinto a los demás, elijo nutrirme de la Madre.",""
arsovska,21,1,"孔德之容，惟道是从。","Hueca es la Virtud que no sigue al Dao.",""
arsovska,21,2,"道之为物，惟恍惟惚。","Dao es cosa incierta y vaga.",""
arsovska,21,3,"惚兮恍兮，其中有象；","¡Incierta y vaga!; ahí está la imagen.",""
arsovska,21,4,"恍兮惚兮，其中有物。","¡Vaga e incierta!; ahí está la cosa.",""
arsovska,21,5,"窈兮冥兮，其中有精；","¡Oscura y nebulosa!; ahí está la semilla.",""
arsovska,21,6,"其精甚真，其中有信。","La semilla es verdadera, en ella se puede confiar.",""
arsovska,21,7,"自今及古，其名不去，以阅众甫。","Desde la antigüedad hasta hoy, su nombre permanece, se multiplica y florece.",""
arsovska,21,8,"吾何以知众甫之状哉？","¿Cómo sé que las cosas son así?",""
arsovska,21,9,"以此。","Por el Dao.",""
arsovska,22,1,"曲则全，枉则直，洼则盈，敝则新，少则得，多则惑。","Lo carente se completa, lo torcido se endereza, lo hueco se llena, lo gastado se renueva, lo poco se obtiene, lo mucho confunde.",""
arsovska,22,2,"是以圣人抱一为天下式。","Por ello el sabio abraza al uno como molde del mundo.",""
arsovska,22,3,"不自见故明，不自是故彰，不自伐故有功，不自矜故长。","No se exhibe y por eso brilla; no se muestra y por eso es evidente; no contiende y por eso logra; no se vanagloria y por eso perdura.",""
arsovska,22,4,"夫唯不争，故天下莫能与之争。","Y justo por no contender, nada bajo el cielo puede contra él.",""
arsovska,22,5,"古之所谓曲则全者，岂虚言哉！","Aquellas palabras de antaño, 'lo escaso se colma', ¿acaso son sólo palabras vacuas?",""
arsovska,22,6,"诚全而归之。","Todo, una vez completo, retorna al Dao.",""
arsovska,23,1,"希言自然。","Poco predicar es lo natural.",""
arsovska,23,2,"故飘风不终朝，骤雨不终日。","Así, el ventarrón no agota la mañana ni la lluvia torrencial dura todo el día.",""
arsovska,23,3,"孰为此者？","¿Por qué?",""
arsovska,23,4,"天地。","Por el cielo y la tierra.",""
arsovska,23,5,"天地尚不能久，而况于人乎？","Si sus fenómenos no son perennes, ¿cómo podría serlo el ser humano?",""
arsovska,23,6,"故从事于道者，道者同于道，德者同于德，同于道者，道亦乐得之；同于德者，德亦乐得之；同于失者，失亦乐得之。","Quien sigue al Dao se funde con el Dao. Quien sigue a la Virtud se funde con la Virtud. Quien elige desviarse logra extraviarse. Dao abraza con júbilo a los que se funden con él; la Virtud abraza con regocijo a quienes se le unen; la ruina acoge con alegría a los que la eligen.",""
arsovska,23,7,"信不足焉，有不信焉。","Cuando la confianza mengua, la desconfianza asoma.",""
arsovska,24,1,"企者不立，跨者不行，自见者不明，自是者不彰，自伐者无功，自矜者不长。","Quien anda en puntas no está parado; quien anda a zancadas no camina; quien se exhibe no brilla; quien se muestra no es evidente; quien contiende no logra; quien se vanagloria no perdura.",""
arsovska,24,2,"其在道也，曰余食赘行。","Esto en el Dao se llama sobras de comida, formas superfluas.",""
arsovska,24,3,"物或恶之，故有道者不处。","Existe la fealdad, mas quien abraza al Dao no permanece ahí.",""
arsovska,25,1,"有物混成，先天地生。","... Algo se funde, se forma y nace antes que el cielo y la tierra...",""
arsovska,25,2,"寂兮寥兮，独立而不改，周行而不殆，可以为天下母。","Silencioso y amorfo, solitario e indivisible. Circula por doquier sin nunca perecer; podría ser la Madre del cielo y la tierra.",""
arsovska,25,3,"吾不知其名，字之曰道，强为之名，曰大。","No sé su nombre; a fuerza le llamo Dao. Forzado a nombrarlo más, lo llamo Grande.",""
arsovska,25,4,"大曰逝，逝曰远，远曰反。","Lo grande se admira, lo que se admira está lejos, lo que está lejos retorna.",""
arsovska,25,5,"故道大，天大，地大，王亦大。","Por ello el Dao es grande, el cielo es grande, la tierra es grande y el monarca es grande.",""
arsovska,25,6,"域中有四大，而王居其一焉。","En lo vasto hay cuatro grandes y el monarca está en la cima.",""
arsovska,25,7,"人法地，地法天，天法道，道法自然。","El ser humano tiene por norma a la tierra, la tierra al cielo, el cielo al Dao y el Dao a la espontaneidad.",""
arsovska,26,1,"重为轻根，静为躁君。","Lo pesado es raíz de lo ligero; la quietud, reina del movimiento.",""
arsovska,26,2,"是以圣人终日行不离辎重。","De esta manera, el sabio anda el día entero sin apartarse de su carruaje.",""
arsovska,26,3,"虽有荣观，燕处超然。","Ante paisajes seductores, prefiere quedarse en su hogar.",""
arsovska,26,4,"奈何万乘之主，而以身轻天下？","¿Acaso el amo de los diez mil carruajes obra a la ligera?",""
arsovska,26,5,"轻则失本，躁则失君。","Obrar a la ligera es extraviar la raíz. Los impetuosos pierden el trono.",""
arsovska,27,1,"善行无辙迹，善言无瑕谪；","El buen caminante no deja huellas; el buen orador no da lugar a polémica.",""
arsovska,27,2,"善数不用筹策；","Quien sabe contar no necesita ábaco;",""
arsovska,27,3,"善闭无关楗而不可开，善结无绳约而不可解。","quien sabe cerrar no usa cerrojos, mas nadie puede abrir su puerta; quien sabe amarrar no usa cuerda, mas nadie puede deshacer su nudo.",""
arsovska,27,4,"是以圣人常善救人，故无弃人；常善救物，故无弃物，是谓袭明。","Por ello, el sabio siempre rescata al prójimo y así nadie queda abandonado; aprovecha las cosas y así nada es desperdiciado. Eso se llama adherirse a la claridad.",""
arsovska,27,5,"故善人者，不善人之师；","Por ello, los diestros son maestros de los torpes, y los torpes, el recurso de los diestros.",""
arsovska,27,6,"不贵其师，不爱其资，虽智大迷，是谓要妙。","Quien no valora al maestro ni ama al recurso, aunque posea conocimiento, está perdido. Esto se llama misterio elemental.",""
arsovska,28,1,"知其雄，守其雌，为天下谿。为天下谿，常德不离，复归于婴儿。","Quien reconoce su virilidad y abraza su lado femenino es el arroyo del mundo; no se aparta de la Virtud y retorna a la infancia primigenia.",""
arsovska,28,2,"知其白，守其黑，为天下式。为天下式，常德不忒，复归于无极。","Quien conoce su blanco y conserva su negro es el molde del mundo; al molde del mundo la Virtud no le falla y retorna a la Unidad.",""
arsovska,28,3,"知其荣，守其辱，为天下谷，常德乃足，复归于朴。","Quien conoce el honor y conserva la vergüenza es el valle del mundo; rebosa de Virtud que retorna a la simpleza, a la madera sin tallar.",""
arsovska,28,4,"朴散则为器，圣人用之，则为官长，故大制不割。","La madera se talla y surge el instrumento. El sabio lo usa para ascender al mando. El buen carpintero no daña la veta.",""
arsovska,29,1,"将欲取天下而为之，吾见其不得已。","Quien desea apoderarse del mundo e incidir en él jamás lo logra; lo he visto yo.",""
arsovska,29,2,"天下神器，不可为也，为者败之，执者失之。","El mundo es una vasija misteriosa, no se puede manipular. Quien intenta manipularlo fracasa. Quien intenta retenerlo lo pierde.",""
arsovska,29,3,"故物或行或随，或歔或吹。","En el mundo unos marcan el paso, otros siguen la huella; unos suspiran y otros resoplan con fuerza;",""
arsovska,29,4,"或强或羸，或挫或隳。","unos son fuertes y avasallan; otros caen y colapsan.",""
arsovska,29,5,"是以圣人去甚，去奢，去泰。","Por ello el sabio renuncia al abuso, al exceso y a la opulencia.",""
arsovska,30,1,"以道佐人主者，不以兵强天下。","Aquel que gobierna de la mano del Dao no necesita ejércitos para imponer su autoridad.",""
arsovska,30,2,"其事好还。","Sus actos no quedan sin recompensa.",""
arsovska,30,3,"师之所处，荆棘生焉。","Donde acampan militares sólo maleza crece;",""
arsovska,30,4,"大军之后，必有凶年。","después de las guerras, años de calamidades acaecen.",""
arsovska,30,5,"善者果而已，不以取强。","Quien es bueno para lograr y sabe a tiempo parar logra sin arrebatar,",""
arsovska,30,6,"果而勿矜，果而勿伐，果而勿骄。","logra sin presumir, logra sin contender, logra sin jactarse,",""
arsovska,30,7,"果而不得已，果而勿强。","logra sin poseer, logra sin imponer.",""
arsovska,30,8,"物壮则老，是谓不道，不道早已。","Cuando las cosas se robustecen, envejecen; eso es contrario al Dao, y lo contrario al Dao perece.",""
arsovska,31,1,"夫佳兵者，不祥之器，物或恶之，故有道者不处。","Las armas son instrumentos nefastos, objetos repudiados por quien sigue al Dao.",""
arsovska,31,2,"君子居则贵左，用兵则贵右。","El caballero valora la izquierda; el militar atesora la derecha.",""
arsovska,31,3,"兵者不祥之器，非君子之器，不得已而用之，恬淡为上。","Las armas, estos artefactos atroces, no son instrumentos del caballero. Cuando su uso es imprescindible, hay que hacerlo con calma y tranquilidad.",""
arsovska,31,4,"胜而不美，而美之者，是乐杀人。","La victoria nunca es bella sino para quien goza de matar.",""
arsovska,31,5,"夫乐杀人者，则不可以得志于天下矣。","Quien goza de matar jamás ganará la voluntad del pueblo.",""
arsovska,31,6,"吉事尚左，凶事尚右。","En ocasiones festivas se precia la izquierda; en ocasiones de luto, la derecha.",""
arsovska,31,7,"偏将军居左，上将军居右，言以丧礼处之。","El teniente se instala a la izquierda, el comandante a la derecha.",""
arsovska,31,8,"杀人之众，以哀悲泣之，战胜，以丧礼处之。","Quien a muchos mató debe asistir con llanto y pena a los funerales; el vencedor también debe honrar a los muertos.",""
arsovska,32,1,"道常无名，朴虽小，天下莫能臣也。","El Dao constante carece de nombre. Aunque lo simple es diminuto, nada en el mundo lo puede someter.",""
arsovska,32,2,"侯王若能守之，万物将自宾。","Si reyes y príncipes abrazan al Dao, las diez mil cosas se alinearán.",""
arsovska,32,3,"天地相合，以降甘露，民莫之令而自均。","Y tal como de la unión entre el cielo y la tierra el dulce rocío del alba emana, sin mandatos ni leyes el pueblo por sí solo se ordena.",""
arsovska,32,4,"始制有名，名亦既有，夫亦将知止，知止所以不殆。","Con las normas surgieron los nombres, con los nombres aparece el poseer. Saber parar evita perecer.",""
arsovska,32,5,"譬道之在天下，犹川谷之于江海。","El Dao para el mundo es lo que el arroyo para el valle, lo que el río para el mar.",""
arsovska,33,1,"知人者智，自知者明。","Sagaz es quien conoce al otro; iluminado, quien se conoce a sí mismo.",""
arsovska,33,2,"胜人者有力，自胜者强。","Quien vence al otro tiene fuerza; quien se vence a sí mismo es fuerte.",""
arsovska,33,3,"知足者富。","Quien sabe cuándo es suficiente está pleno;",""
arsovska,33,4,"强行者有志。","quien fuerza el actuar tiene voluntad.",""
arsovska,33,5,"不失其所者久。","Quien no pierde su sitio, perdura;",""
arsovska,33,6,"死而不亡者寿。","quien muere sin perecer, vive.",""
arsovska,34,1,"大道氾兮，其可左右。","El gran Dao colma la izquierda y la derecha.",""
arsovska,34,2,"万物恃之而生而不辞，功成不名有。","Da vida a las diez mil cosas sin pregonar, logra sin jactarse,",""
arsovska,34,3,"衣养万物而不为主，常无欲，可名于小；","arropa y nutre todas las cosas sin adueñarse. No anhela, y por eso se puede llamar diminuto.",""
arsovska,34,4,"万物归焉而不为主，可名为大。","Las diez mil cosas retornan sin que él sea su dueño; por eso se puede llamar grande.",""
arsovska,34,5,"以其终不自为大，故能成其大。","Es grande justamente porque jamás se piensa grande.",""
arsovska,35,1,"执大象，天下往。","Abraza la gran imagen y el mundo vendrá.",""
arsovska,35,2,"往而不害，安平太。","Vendrá, no a dañar, sino a apaciguar y calmar.",""
arsovska,35,3,"乐与饵，过客止。","La música y los manjares seducen al caminante.",""
arsovska,35,4,"道之出口，淡乎其无味，视之不足见，听之不足闻，用之不可既。","El Dao, en cambio, es desabrido, insípido. Lo miras sin llegar a verlo, lo escuchas sin llegar a oírlo, lo usas sin nunca agotarlo.",""
arsovska,36,1,"将欲歙之，必固张之；将欲弱之，必固强之；将欲废之，必固兴之；将欲夺之，必固与之。","Si quieres comprimirlo, primero lo debes extender; si quieres debilitarlo, primero lo debes fortalecer; si quieres desaparecerlo, primero lo debes potenciar; si quieres obtener, primero debes dar.",""
arsovska,36,2,"是谓微明。","Eso se llama claridad sutil.",""
arsovska,36,3,"柔弱胜刚强。","Lo blando y débil vence a lo rígido y fuerte.",""
arsovska,36,4,"鱼不可脱于渊，国之利器不可以示人。","El pez no puede abandonar las aguas profundas ni el Estado mostrar al pueblo su arsenal.",""
arsovska,37,1,"道常无为而无不为。","El Dao hace sin hacer; por ello nada queda sin atender.",""
arsovska,37,2,"侯王若能守之，万物将自化。","Si los reyes y príncipes lo abrazan, las diez mil cosas por sí solas se transforman.",""
arsovska,37,3,"化而欲作，吾将镇之以无名之朴。","Si al transformarse osa actuar, lo aplacaré mediante la simpleza sin nombre.",""
arsovska,37,4,"无名之朴，夫亦将无欲。","La simpleza sin nombre lleva a no desear.",""
arsovska,37,5,"不欲以静，天下将自定。","No desear restaura la calma, y así, cada cosa en el mundo ocupa su lugar.",""
arsovska,38,1,"上德不德，是以有德；下德不失德，是以无德。","Por no aparentar, la Virtud superior es Virtud; por aferrarse, la Virtud inferior no es Virtud.",""
arsovska,38,2,"上德无为而无以为；","La Virtud superior no actúa con pretensión; por ello no hay actuar aparente.",""
arsovska,38,3,"下德为之而有以为。","El actuar de la Virtud inferior, en cambio, es evidente.",""
arsovska,38,4,"上仁为之而无以为；","La benevolencia superior actúa sin actuar aparente.",""
arsovska,38,5,"上义为之而有以为。","El actuar de la justicia, en cambio, es evidente.",""
arsovska,38,6,"上礼为之而莫之应，则攘臂而扔之。","El rito superior actúa y, al no obtener respuesta, se remanga y avasalla.",""
arsovska,38,7,"故失道而后德，失德而后仁，失仁而后义，失义而后礼。","Por ello, cuando el Dao se desvanece, la Virtud aparece; cuando la Virtud colapsa, la benevolencia se abalanza; cuando la benevolencia se disipa, la justicia florece; cuando la justicia se aplaza, los ritos la reemplazan.",""
arsovska,38,8,"夫礼者，忠信之薄，而乱之首。","Los ritos son lealtad ensombrecida, confianza menguada, el principio del caos.",""
arsovska,38,9,"前识者，道之华，而愚之始。","El saber anticipado es la pomposidad del Dao y el inicio de la torpeza.",""
arsovska,38,10,"是以大丈夫处其厚，不居其薄；处其实，不居其华。","Por ello, el caballero se arraiga en lo firme y no en lo blando, se sitúa en lo cierto y no en lo suntuoso,",""
