surface,pos,meaning_es,meaning_zh,syntactic_role_es,syntactic_role_zh,note
antes,"adverbio","Antes (temporal: antes de)","先前、之前","Adverbio de tiempo","时间副词",""
después,"adverbio","Después (temporal)","之后","Adverbio de tiempo","时间副词",""
debajo,"adverbio","Debajo (de) — posición inferior","(在)……下面","Adverbio de lugar","方位副词",""
solo,"adverbio","Solo/sólo (solamente) o a solas","只、仅;独自","Adverbio/adjetivo","副词/形容词",""
sola,"adjetivo","Sola (femenino de solo)","独自的(阴性)","Adjetivo","形容词",""
solas,"adjetivo","Solas ('por sí solas')","自行、独自(阴复)","Adjetivo","形容词",""
justamente,"adverbio","Justamente (precisamente)","正是、恰好","Adverbio","副词",""
nada,"pronombre","Nada (indefinido negativo)","没有什么、毫无","Pronombre indefinido","不定代词",""
todo,"pron/det","Todo (totalidad, masc. sing.)","全、都、一切","Cuantificador universal","全称限定词",""
toda,"pron/det","Toda (femenino singular)","全、整个(阴性)","Cuantificador universal","全称限定词",""
todos,"pron/det","Todos (masc. plural)","所有、大家","Cuantificador universal","全称限定词",""
todas,"pron/det","Todas (fem. plural)","所有(阴性复数)","Cuantificador universal","全称限定词",""
cada,"determinante","Cada (distributivo)","每一","Determinante distributivo","分配限定词",""
dos,"numeral","Dos (numeral cardinal)","二、两","Numeral","数词",""
se,"pronombre","Se (reflexivo / pasiva refleja / impersonal)","自身;被动/无人称标记","Pronombre clítico","代词(反身/被动)",""
sí,"pronombre","Sí (reflexivo tónico: 'por sí', 'en sí')","自己、其自身","Pronombre reflexivo tónico","反身代词(重读)",""
ello,"pronombre","Ello (neutro: eso)","它、此事","Pronombre neutro","中性代词",""
ellos,"pronombre","Ellos (3ª pers. masc. pl.)","他们、它们","Pronombre personal","人称代词",""
ellas,"pronombre","Ellas (3ª pers. fem. pl.)","她们、它们(阴)","Pronombre personal","人称代词",""
este,"demostrativo","Este (masc. sing.)","这、这个","Demostrativo","指示词",""
esta,"demostrativo","Esta (fem. sing.)","这、这个(阴)","Demostrativo","指示词",""
esto,"demostrativo","Esto (neutro)","这、此","Demostrativo neutro","指示词",""
estos,"demostrativo","Estos (masc. pl.)","这些","Demostrativo","指示词",""
estas,"demostrativo","Estas (fem. pl.)","这些(阴)","Demostrativo","指示词",""
ese,"demostrativo","Ese (masc. sing.)","那、那个","Demostrativo","指示词",""
esa,"demostrativo","Esa (fem. sing.)","那(阴)","Demostrativo","指示词",""
eso,"demostrativo","Eso (neutro)","那、那件事","Demostrativo neutro","指示词",""
mi,"posesivo","Mi (1ª pers. sing.)","我的","Determinante posesivo","物主限定词",""
mis,"posesivo","Mis (1ª pers., varios poseídos)","我的(复数)","Determinante posesivo","物主限定词",""
mío,"posesivo","Mío (tónico)","我的(重读)","Posesivo tónico","物主代词",""
mía,"posesivo","Mía (tónico fem.)","我的(阴,重读)","Posesivo tónico","物主代词",""
tu,"posesivo","Tu (2ª pers. sing.)","你的","Determinante posesivo","物主限定词",""
tus,"posesivo","Tus (2ª pers., varios poseídos)","你的(复数)","Determinante posesivo","物主限定词",""
tuya,"posesivo","Tuya (tónico fem.)","你的(阴,重读)","Posesivo tónico","物主代词",""
tuyo,"posesivo","Tuyo (tónico masc.)","你的(重读)","Posesivo tónico","物主代词",""
su,"posesivo","Su (3ª pers.: de él/ella/ellos/usted)","他/她/它/您的","Determinante posesivo","物主限定词",""
sus,"posesivo","Sus (3ª pers., varios poseídos)","他/她/它们的(复数)","Determinante posesivo","物主限定词",""
suya,"posesivo","Suya (tónico fem.)","他/她的(阴,重读)","Posesivo tónico","物主代词",""
suyo,"posesivo","Suyo (tónico masc.)","他/她的(重读)","Posesivo tónico","物主代词",""
no,"adverbio","No (negación)","不、没有","Adverbio de negación","否定副词",""
es,"verbo","Es (cópula 'ser', 3ª sing.)","是(系动词)","Verbo copulativo","系动词","无对应汉字, 表判断"
son,"verbo","Son (cópula 'ser', 3ª pl.)","是(系动词,复数)","Verbo copulativo","系动词",""
sea,"verbo","Sea (subjuntivo de 'ser')","是(虚拟式)","Verbo copulativo","系动词","subjuntivo"
sean,"verbo","Sean (subjuntivo pl. de 'ser')","是(虚拟式,复数)","Verbo copulativo","系动词","subjuntivo"
ser,"verbo","Ser (infinitivo, cópula)","是、存在(不定式)","Verbo copulativo","系动词",""
hay,"verbo","Hay (existencial 'haber')","有、存在","Verbo existencial","存现动词","无对应汉字, 表存在"
está,"verbo","Está (estar, 3ª sing.)","在、处于","Verbo copulativo/locativo","系动词",""
están,"verbo","Están (estar, 3ª pl.)","在、处于(复数)","Verbo copulativo/locativo","系动词",""
mismo,"pron/adj","Mismo (identidad: 'sí mismo')","自身、本身、同一","Refuerzo de identidad","强调代词/形容词","'a sí mismo'=自"
misma,"pron/adj","Misma (fem. de mismo)","自身、本身(阴)","Refuerzo de identidad","强调代词/形容词",""
mismos,"pron/adj","Mismos (masc. pl.: 'a sí mismos')","自身(复数)","Refuerzo de identidad","强调代词/形容词","'a sí mismos'=自"
mismas,"pron/adj","Mismas (fem. pl.)","自身(阴性复数)","Refuerzo de identidad","强调代词/形容词",""
cambio,"locución","'en cambio' (contraste discursivo)","反而、相反地、然而","Conector contrastivo","语篇转折词","仅用于 'en cambio' 结构, 无对应汉字"
gracias,"locución","'gracias a' (por causa de)","由于、多亏、藉由","Locución prepositiva","介词短语","'gracias a'=因/藉"
