translator,chapter,sentence_id,token_index,spanish,lemma,chinese,pinyin,meaning,pos,is_proper_noun,syntactic_role_es,syntactic_role_zh,verb_person,verb_number,verb_tense,verb_mood,other_translation,pronoun_ref,clause_type,note
arsovska,1,1-5,50,"se","se","（被动）","-","'se' de pasiva refleja","pronombre",false,"Marca de pasiva refleja","被动标记","","","","","","se → impersonal","oración principal",""
arsovska,1,1-5,51,"observan","observar","观","guān","Observar, contemplar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","变位: 3ª pl. pres. ind.; '观其妙'"
arsovska,1,1-5,52,"sus","su","其","qí","Posesivo plural","determinante",false,"Determinante posesivo","物主限定词","","","","","","sus → Dao","oración principal",""
arsovska,1,1-5,53,"prodigios","prodigio","妙","miào","Prodigios, maravillas, sutilezas","sustantivo",false,"Sujeto paciente","名词作主语","","","","","","","oración principal","'妙'"
arsovska,1,1-6,55,"siempre","siempre","常","cháng","Siempre","adverbio",false,"Complemento circunstancial","时间副词","","","","","","","oración principal","'常有欲'"
arsovska,1,1-6,57,"anhelo","anhelo","欲","yù","Anhelo, deseo","sustantivo",false,"Término de preposición","名词","","","","","","","oración principal","'有欲'"
arsovska,1,1-6,58,"se","se","（被动）","-","'se' de pasiva refleja","pronombre",false,"Marca de pasiva refleja","被动标记","","","","","","se → impersonal","oración principal",""
arsovska,1,1-6,59,"indagan","indagar","观","guān","Indagar, escrutar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'观其徼'"
arsovska,1,1-6,60,"sus","su","其","qí","Posesivo plural","determinante",false,"Determinante posesivo","物主限定词","","","","","","sus → Dao","oración principal",""
arsovska,1,1-6,61,"límites","límite","徼","jiào","Límites, confines","sustantivo",false,"Sujeto paciente","名词作主语","","","","","","","oración principal","'徼'"
arsovska,1,1-7,62,"Estos","este","此","cǐ","Demostrativo (estos)","determinante",false,"Determinante demostrativo","指示限定词","","","","","","","oración principal","'此两者'"
arsovska,1,1-7,63,"dos","dos","两者","liǎng zhě","Dos, los dos","numeral",false,"Núcleo nominal (sujeto)","数词作主语","","","","","","","oración principal",""
arsovska,1,1-7,64,"juntos","junto","同","tóng","Juntos, en común","adjetivo",false,"Predicativo","形容词作状语","","","","","","","oración principal","'同出'"
arsovska,1,1-7,65,"emergen","emerger","出","chū","Emerger, surgir","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'同出' 的 '出'"
arsovska,1,1-7,68,"misma","mismo","同","tóng","Misma","adjetivo",false,"Modificador","形容词作定语","","","","","","","oración principal",""
arsovska,1,1-7,69,"fuente","fuente","宗/源","zōng","Fuente, origen","sustantivo",false,"Término de preposición","名词","","","","","","","oración principal",""
arsovska,1,1-7,70,"pero","pero","而","ér","Conjunción adversativa","conjunción",false,"Nexo adversativo","转折连词","","","","","","","oración principal","'而异名'"
arsovska,1,1-7,71,"se","se","（被动）","-","'se' de pasiva refleja","pronombre",false,"Marca de pasiva refleja","被动标记","","","","","","se → impersonal","oración principal",""
arsovska,1,1-7,72,"nombran","nombrar","名","míng","Nombrar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'异名'"
arsovska,1,1-7,73,"diferente","diferente","异","yì","Diferente, distinto","adjetivo",false,"Predicativo","形容词作状语","","","","","","","oración principal",""
arsovska,1,1-8,74,"juntos","junto","同","tóng","Juntos","adjetivo",false,"Predicativo","形容词作状语","","","","","","","oración principal","'同谓之'"
arsovska,1,1-8,75,"se","se","（被动）","-","'se' de pasiva refleja","pronombre",false,"Marca de pasiva refleja","被动标记","","","","","","se → impersonal","oración principal",""
arsovska,1,1-8,76,"nombran","nombrar","谓","wèi","Nombrar, llamar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'同谓之玄'"
arsovska,1,1-8,77,"misterio","misterio","玄","xuán","Misterio, lo oscuro y profundo","sustantivo",false,"Predicativo","名词作表语","","","","","","","oración principal","术语: 玄"
arsovska,1,1-9,78,"Son","ser","（是）","-","Ser (cópula)","verbo",false,"Verbo copulativo","系动词",3,"plural","presente","indicativo","","","oración principal",""
arsovska,1,1-9,80,"misterio","misterio","玄","xuán","Misterio","sustantivo",false,"Atributo","名词作表语","","","","","","","oración principal","'玄之又玄'"
arsovska,1,1-9,82,"misterio","misterio","玄","xuán","Misterio","sustantivo",false,"Complemento del nombre","名词作定语","","","","","","","oración principal",""
arsovska,1,1-9,83,"puerta","puerta","门","mén","Puerta, portal","sustantivo",false,"Aposición","名词作同位语","","","","","","","oración principal","'众妙之门'"
arsovska,1,1-9,85,"infinitos","infinito","众","zhòng","Infinitos, innumerables","adjetivo",false,"Modificador","形容词作定语","","","","","","","oración principal","'众'"
arsovska,1,1-9,86,"prodigios","prodigio","妙","miào","Prodigios, maravillas","sustantivo",false,"Término de preposición","名词","","","","","","","oración principal","'众妙'"
arsovska,2,2-1,3,"mundo","mundo","天下","tiān xià","Mundo, bajo el cielo","sustantivo",false,"Complemento circunstancial","名词","","","","","","","oración principal","术语: 天下"
arsovska,2,2-1,4,"todos","todo","皆","jiē","Todos","pronombre",false,"Sujeto","无定代词作主语","","","","","","","oración principal","'皆'"
arsovska,2,2-1,5,"saben","saber","知","zhī","Saber, conocer","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","变位: 3ª pl. pres. ind.; '皆知'"
arsovska,2,2-1,6,"que","que","（之）","-","Conjunción subordinante","conjunción",false,"Nexo","连词","","","","","","","subordinada sustantiva","引导宾语从句"
arsovska,2,2-1,9,"belleza","belleza","美","měi","Belleza","sustantivo",false,"Complemento circunstancial","名词","","","","","","","subordinada sustantiva","'美之为美'"
arsovska,2,2-1,10,"emerge","emerger","为","wéi","Emerger, aparecer","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","subordinada sustantiva","'斯恶已'"
arsovska,2,2-1,12,"fealdad","fealdad","恶","è","Fealdad","sustantivo",false,"Sujeto","名词作主语","","","","","","","subordinada sustantiva","'恶'"
arsovska,2,2-1,16,"bondad","bondad","善","shàn","Bondad","sustantivo",false,"Complemento circunstancial","名词","","","","","","","subordinada sustantiva","'善之为善'"
arsovska,2,2-1,17,"asoma","asomar","为","wéi","Asomar, aparecer","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","subordinada sustantiva","'斯不善已'"
arsovska,2,2-1,19,"maldad","maldad","不善","bù shàn","Maldad, lo no bueno","sustantivo",false,"Sujeto","名词作主语","","","","","","","subordinada sustantiva","'不善'"
arsovska,2,2-2,20,"Lo","lo","有","yǒu","Artículo neutro (sustantiva adjetivo)","artículo",false,"Determinante neutro","中性冠词","","","","","","","oración principal","lo+adj → 名词化; '有'"
arsovska,2,2-2,21,"manifiesto","manifiesto","有","yǒu","Lo manifiesto, el ser","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal","术语: 有"
arsovska,2,2-2,23,"lo","lo","无","wú","Artículo neutro","artículo",false,"Determinante neutro","中性冠词","","","","","","","oración principal","'无'"
arsovska,2,2-2,24,"no","no","无","wú","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,2,2-2,25,"manifiesto","manifiesto","无","wú","Lo no manifiesto, el no-ser","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal","术语: 无"
arsovska,2,2-2,26,"se","se","相","xiāng","'se' recíproco","pronombre",false,"Marca de reciprocidad","相互标记","","","","","","se → mutuo","oración principal","'相生' 的 '相'"
arsovska,2,2-2,27,"generan","generar","生","shēng","Generar, engendrar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'相生'"
arsovska,2,2-2,28,"mutuamente","mutuamente","相","xiāng","Mutuamente","adverbio",false,"Complemento circunstancial","方式副词","","","","","","","oración principal",""
arsovska,2,2-3,29,"fácil","fácil","易","yì","Fácil","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal","'难易相成'"
arsovska,2,2-3,31,"difícil","difícil","难","nán","Difícil","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal",""
arsovska,2,2-3,32,"se","se","相","xiāng","'se' recíproco","pronombre",false,"Marca de reciprocidad","相互标记","","","","","","se → mutuo","oración principal",""
arsovska,2,2-3,33,"logran","lograr","成","chéng","Lograr, completar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'相成'"
arsovska,2,2-3,34,"uno","uno","（相）","-","Uno (correlato recíproco)","pronombre",false,"Elemento recíproco","相互结构","","","","","","","oración principal",""
arsovska,2,2-3,36,"otro","otro","（相）","-","Otro (correlato recíproco)","pronombre",false,"Elemento recíproco","相互结构","","","","","","","oración principal","uno al otro = 相"
arsovska,2,2-4,37,"largo","largo","长","cháng","Largo","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal","'长短相较'"
arsovska,2,2-4,39,"corto","corto","短","duǎn","Corto","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal",""
arsovska,2,2-4,40,"se","se","相","xiāng","'se' recíproco","pronombre",false,"Marca de reciprocidad","相互标记","","","","","","se → mutuo","oración principal",""
arsovska,2,2-4,41,"definen","definir","较","jiào","Definir, contrastar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'相较'"
arsovska,2,2-4,42,"mutuamente","mutuamente","相","xiāng","Mutuamente","adverbio",false,"Complemento circunstancial","方式副词","","","","","","","oración principal",""
arsovska,2,2-5,43,"alto","alto","高","gāo","Alto","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal","'高下相倾'"
arsovska,2,2-5,45,"bajo","bajo","下","xià","Bajo","adjetivo",false,"Sujeto (adj. sustantivado)","形容词名词化作主语","","","","","","","oración principal",""
arsovska,2,2-5,46,"dependen","depender","倾","qīng","Depender","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'相倾'"
arsovska,2,2-5,48,"uno","uno","（相）","-","Uno (correlato recíproco)","pronombre",false,"Elemento recíproco","相互结构","","","","","","","oración principal",""
arsovska,2,2-5,50,"otro","otro","（相）","-","Otro (correlato recíproco)","pronombre",false,"Elemento recíproco","相互结构","","","","","","","oración principal","el uno del otro = 相"
arsovska,2,2-6,52,"tono","tono","音","yīn","Tono","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","'音声相和'"
arsovska,2,2-6,55,"sonido","sonido","声","shēng","Sonido, voz","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal",""
arsovska,2,2-6,56,"se","se","相","xiāng","'se' recíproco","pronombre",false,"Marca de reciprocidad","相互标记","","","","","","se → mutuo","oración principal",""
arsovska,2,2-6,57,"armonizan","armonizar","和","hé","Armonizar","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'相和'"
arsovska,2,2-7,58,"adelante","adelante","前","qián","Adelante, antes","adverbio",false,"Sujeto (adv. sustantivado)","方位词作主语","","","","","","","oración principal","'前后相随'"
arsovska,2,2-7,60,"atrás","atrás","后","hòu","Atrás, después","adverbio",false,"Sujeto (adv. sustantivado)","方位词作主语","","","","","","","oración principal",""
arsovska,2,2-7,61,"se","se","相","xiāng","'se' recíproco","pronombre",false,"Marca de reciprocidad","相互标记","","","","","","se → mutuo","oración principal",""
arsovska,2,2-7,62,"persiguen","perseguir","随","suí","Perseguir, seguir","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'相随'"
arsovska,2,2-8,63,"Puesto","puesto","是以","shì yǐ","'Puesto que' (locución causal)","conjunción",false,"Nexo causal","连词","","","","","","","subordinada causal","'是以/故'"
arsovska,2,2-8,64,"que","que","是以","shì yǐ","Parte de 'puesto que'","conjunción",false,"Nexo causal","连词","","","","","","","subordinada causal",""
arsovska,2,2-8,65,"así","así","（如此）","-","Así, de esta manera","adverbio",false,"Predicativo","方式副词","","","","","","","subordinada causal",""
arsovska,2,2-8,66,"son","ser","（是）","-","Ser (cópula)","verbo",false,"Verbo copulativo","系动词",3,"plural","presente","indicativo","","","subordinada causal",""
arsovska,2,2-8,68,"cosas","cosa","物","wù","Cosas","sustantivo",false,"Sujeto","名词作主语","","","","","","","subordinada causal",""
arsovska,2,2-8,70,"sabio","sabio","圣人","shèng rén","El sabio","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","术语: 圣人"
arsovska,2,2-8,71,"actúa","actuar","处","chǔ","Actuar, situarse","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'处无为之事'; sujeto=圣人"
arsovska,2,2-8,73,"hacer","hacer","为","wéi","Hacer, actuar","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","oración principal","术语: 无为"
arsovska,2,2-8,74,"enseña","enseñar","行","xíng","Enseñar, practicar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'行不言之教'; 主语省略=圣人"
arsovska,2,2-8,76,"predicar","predicar","言","yán","Predicar, hablar","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","oración principal","'不言'"
arsovska,2,2-8,79,"diez","diez","万","wàn","Diez (numeral)","numeral",false,"Cuantificador","数词","","","","","","","oración principal","diez mil = 万"
arsovska,2,2-8,80,"mil","mil","万","wàn","Mil (numeral)","numeral",false,"Cuantificador","数词","","","","","","","oración principal",""
arsovska,2,2-8,81,"cosas","cosa","物","wù","Cosas, seres","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","万物"
arsovska,2,2-8,82,"suceden","suceder","作","zuò","Suceder, surgir","verbo",false,"Verbo principal","动词作谓语",3,"plural","presente","indicativo","","","oración principal","'万物作焉'"
arsovska,2,2-8,84,"pregonar","pregonar","辞","cí","Pregonar, declinar","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","oración principal","'不辞'"
arsovska,2,2-9,85,"Engendra","engendrar","生","shēng","Engendrar, dar vida","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'生而不有'; 主语省略=圣人/道"
arsovska,2,2-9,87,"poseer","poseer","有","yǒu","Poseer, tener","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","oración principal","'不有'"
arsovska,2,2-9,88,"actúa","actuar","为","wéi","Actuar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'为而不恃'"
arsovska,2,2-9,90,"apego","apego","恃","shì","Apego, dependencia","sustantivo",false,"Término de preposición","名词","","","","","","","oración principal","'不恃'"
arsovska,2,2-9,91,"no","no","弗","fú","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,2,2-9,92,"se","se","（自）","-","'se' reflexivo","pronombre",false,"Pronombre reflexivo","反身代词","","","","","","se → el sabio","oración principal",""
arsovska,2,2-9,93,"atribuye","atribuir","居","jū","Atribuirse, arrogarse","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'功成而弗居'"
arsovska,2,2-9,94,"méritos","mérito","功","gōng","Méritos, logros","sustantivo",false,"Objeto directo","名词作宾语","","","","","","","oración principal","'功'"
arsovska,2,2-9,96,"justo","justo","唯","wéi","Justamente, precisamente","adverbio",false,"Complemento circunstancial","副词","","","","","","","oración principal","'夫唯'"
arsovska,2,2-9,98,"ello","ello","（此）","-","Pronombre neutro","pronombre",false,"Término de preposición","中性代词","","","","","","ello → 弗居","oración principal",""
arsovska,2,2-9,99,"nada","nada","不","bù","Nada","pronombre",false,"Objeto directo","无定代词","","","","","","","oración principal","'不去'"
arsovska,2,2-9,100,"puede","poder","（能）","-","Poder","verbo",false,"Verbo modal","能愿动词",3,"singular","presente","indicativo","","","oración principal",""
arsovska,2,2-9,101,"perder","perder","去","qù","Perder, irse","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","oración principal","'是以不去'"
arsovska,3,3-1,2,"no","no","不","bù","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","subordinada temporal","'不尚'"
arsovska,3,3-1,3,"valorar","valorar","尚","shàng","Valorar, exaltar","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","subordinada temporal","'不尚贤'"
arsovska,3,3-1,6,"genios","genio","贤","xián","Genios, hombres de talento","sustantivo",false,"Objeto directo","名词作宾语","","","","","","","subordinada temporal","'贤'"
arsovska,3,3-1,8,"pueblo","pueblo","民","mín","Pueblo, gente","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","'民'"
arsovska,3,3-1,9,"no","no","不","bù","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,3,3-1,10,"pelea","pelear","争","zhēng","Pelear, disputar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'使民不争'"
arsovska,3,3-2,12,"no","no","不","bù","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","subordinada temporal",""
arsovska,3,3-2,13,"apreciar","apreciar","贵","guì","Apreciar, valorar","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","subordinada temporal","'不贵难得之货'"
arsovska,3,3-2,14,"lo","lo","（难得之货）","-","Artículo neutro (sustantiva adjetivo)","artículo",false,"Determinante neutro","中性冠词","","","","","","","subordinada temporal","lo escaso = 难得之货"
arsovska,3,3-2,15,"escaso","escaso","货","huò","Lo escaso, bienes difíciles","adjetivo",false,"Objeto directo (adj. sustantivado)","形容词名词化作宾语","","","","","","","subordinada temporal",""
arsovska,3,3-2,17,"pueblo","pueblo","民","mín","Pueblo","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal",""
arsovska,3,3-2,18,"no","no","不","bù","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,3,3-2,19,"roba","robar","盗","dào","Robar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'使民不为盗'"
arsovska,3,3-3,21,"no","no","不","bù","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","subordinada temporal",""
arsovska,3,3-3,22,"exhibir","exhibir","见","xiàn","Exhibir, mostrar","verbo",false,"Verbo (infinitivo)","动词不定式","","","","infinitivo","","","subordinada temporal","'不见可欲'"
arsovska,3,3-3,23,"lo","lo","（可欲）","-","Artículo neutro","artículo",false,"Determinante neutro","中性冠词","","","","","","","subordinada relativa","lo que = 可欲之物"
arsovska,3,3-3,24,"que","que","（可）","-","Pronombre relativo","pronombre",false,"Nexo subordinante","关系代词","","","","","","que → lo (可欲之物)","subordinada relativa",""
arsovska,3,3-3,25,"incita","incitar","可","kě","Incitar, provocar","verbo",false,"Verbo de la relativa","动词作谓语",3,"singular","presente","indicativo","","","subordinada relativa","'可欲'"
arsovska,3,3-3,27,"deseo","deseo","欲","yù","Deseo","sustantivo",false,"Término de preposición","名词","","","","","","","subordinada relativa","'欲'"
arsovska,3,3-3,29,"corazón","corazón","心","xīn","Corazón, mente","sustantivo",false,"Sujeto","名词作主语","","","","","","","oración principal","'使民心不乱'"
arsovska,3,3-3,30,"no","no","不","bù","Negación","adverbio",false,"Adverbio de negación","否定副词","","","","","","","oración principal",""
arsovska,3,3-3,31,"se","se","（自）","-","'se' pronominal (alborotarse)","pronombre",false,"Pronombre pronominal","代词性成分","","","","","","se → el corazón","oración principal",""
arsovska,3,3-3,32,"alborota","alborotar","乱","luàn","Alborotarse, turbarse","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'不乱'"
arsovska,3,3-4,33,"Así","así","是以","shì yǐ","Así, de este modo","adverbio",false,"Complemento circunstancial","副词","","","","","","","oración principal","'是以圣人之治'"
arsovska,3,3-4,34,"es","ser","（系词）","-","Ser (cópula)","verbo",false,"Verbo copulativo","系动词",3,"singular","presente","indicativo","","","oración principal",""
arsovska,3,3-4,35,"como","como","（之治）","-","Adverbio relativo (modo)","adverbio",false,"Nexo relativo","关系副词","","","","","","","subordinada relativa",""
arsovska,3,3-4,37,"sabio","sabio","圣人","shèng rén","El sabio","sustantivo",false,"Sujeto","名词作主语","","","","","","","subordinada relativa","术语: 圣人"
arsovska,3,3-4,38,"gobierna","gobernar","治","zhì","Gobernar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","subordinada relativa","'圣人之治'"
arsovska,3,3-5,39,"vacía","vaciar","虚","xū","Vaciar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'虚其心'; 主语省略=圣人"
arsovska,3,3-5,41,"mentes","mente","心","xīn","Mentes, corazones","sustantivo",false,"Objeto directo","名词作宾语","","","","","","","oración principal","'其心'"
arsovska,3,3-5,43,"llena","llenar","实","shí","Llenar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'实其腹'"
arsovska,3,3-5,45,"vientres","vientre","腹","fù","Vientres","sustantivo",false,"Objeto directo","名词作宾语","","","","","","","oración principal","'其腹'"
arsovska,3,3-6,46,"debilita","debilitar","弱","ruò","Debilitar","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'弱其志'"
arsovska,3,3-6,48,"voluntad","voluntad","志","zhì","Voluntad, ambición","sustantivo",false,"Objeto directo","名词作宾语","","","","","","","oración principal","'其志'"
arsovska,3,3-6,50,"fortalece","fortalecer","强","qiáng","Fortalecer","verbo",false,"Verbo principal","动词作谓语",3,"singular","presente","indicativo","","","oración principal","'强其骨'"
